num,pos,quat_xyzw,time
0,[ 0.43620459 -0.01663357  0.2517827 ],[ 0.68914727  0.72310165 -0.03351072  0.0328188 ]
1,[ 0.44472415 -0.0092919   0.26082341],[ 0.38581815  0.92119154 -0.04020552  0.03056171]
2,[0.52486605 0.00103853 0.30184781],[0.37527958 0.91123057 0.03337692 0.16646342]
3,[ 0.62454064 -0.04035654  0.28570988],[0.4027967  0.89074638 0.04708357 0.20520439]
4,[ 0.7038861  -0.0337845   0.30578103],[0.47946573 0.83421791 0.02318609 0.27139545]
5,[ 0.70370747 -0.03584861  0.30078414],[0.86627812 0.42101904 0.16776098 0.21014623]
6,[ 0.64075361 -0.03204155  0.23817822],[0.88393642 0.43219705 0.02702726 0.17644161]
7,[ 0.49303737 -0.07605865  0.26741402],[ 0.89238428  0.37819071 -0.20180287  0.14105911]
8,[ 0.38291226 -0.07907783  0.28320522],[ 0.87753167  0.3716803  -0.27540018  0.12628008]
9,[ 0.31629133 -0.09334728  0.30397719],[ 0.89824572  0.35877868 -0.21671347  0.13216562]
10,[ 0.26408706 -0.12356975  0.31625954],[ 0.90684882  0.42136635 -0.0062964  -0.00599772]
11,[ 0.2521521  -0.13693694  0.32105773],[0.74461774 0.66741935 0.00959656 0.00193133]
12,[ 0.33124749 -0.21482847  0.36918493],[0.72080029 0.69077074 0.0194885  0.05387879]
13,[ 0.40452202 -0.24240982  0.41911144],[0.70482042 0.67621115 0.0862245  0.19629566]
14,[ 0.42964338 -0.17399555  0.41270045],[0.56774363 0.79636985 0.03352885 0.20576209]
15,[ 0.23886378 -0.09401397  0.4418161 ],[ 0.55247378  0.81959464 -0.14635924 -0.0402036 ]
16,[ 0.2337563  -0.09138361  0.41651529],[ 0.32254097  0.91944587 -0.15342106 -0.16446454]
17,[ 0.33951778 -0.06775021  0.37157035],[ 0.19820851  0.96106718 -0.16061577 -0.10614064]
18,[ 0.45743954 -0.04134334  0.308615  ],[ 0.24499708  0.96078772 -0.12969358  0.00655395]
19,[ 0.53292202 -0.00573737  0.26164077],[ 0.36146475  0.92549375 -0.07233527  0.08701822]
20,[0.65538494 0.01387017 0.25269541],[0.41213977 0.87768735 0.0724698  0.23356767]
21,[0.68430235 0.03822352 0.36538163],[0.38777302 0.8607264  0.1092925  0.31118692]
22,[0.71851955 0.04354427 0.51979189],[0.5557302  0.70520991 0.25237938 0.36075971]
23,[0.66273735 0.03341396 0.54013597],[0.58020387 0.71647033 0.19167151 0.33659437]
24,[0.6101809  0.01602838 0.53253795],[0.62694082 0.73142624 0.08493689 0.25445351]
25,[0.49884765 0.02861004 0.52020521],[ 0.72327121  0.66820919 -0.01238797  0.17384411]
26,[0.40356767 0.00983257 0.5111778 ],[ 0.83456558  0.54001217 -0.07892161  0.0752232 ]
27,[ 0.29642522 -0.0087394   0.51078376],[ 0.85991521  0.49738221  0.0237375  -0.11221991]
28,[0.28637936 0.03467323 0.43846411],[ 0.90376352  0.39648815 -0.10088253 -0.12582276]
29,[0.26991098 0.04423785 0.38538927],[ 0.88756357  0.3977278  -0.17636068 -0.15146094]
30,[0.25929931 0.04357149 0.33023528],[ 0.86475166  0.38109866 -0.26097199 -0.19713449]
31,[0.26066881 0.01623389 0.33202581],[ 0.82479276  0.45467921 -0.33584827 -0.01377153]
32,[0.36675038 0.05911246 0.28493509],[ 0.82981288  0.52209452 -0.19291856  0.04012893]
33,[0.52636096 0.13145327 0.26101521],[0.91896801 0.38874231 0.02771145 0.06007738]
34,[0.63319719 0.16063467 0.24590934],[0.92105409 0.37888288 0.08881621 0.01479208]
35,[0.65006036 0.17054657 0.36257364],[0.90672224 0.38008646 0.17568463 0.05023919]
36,[0.74268762 0.18966667 0.37902056],[0.8688216  0.40455965 0.28223641 0.04269815]
37,[0.76270106 0.23469642 0.45882892],[0.83430506 0.41077603 0.36545523 0.04050427]
38,[0.7292527  0.29567749 0.51663076],[0.80257271 0.4415637  0.39952893 0.03570959]
39,[0.73659808 0.28203725 0.6086566 ],[0.78135417 0.42052771 0.45794044 0.05415405]
40,[0.80373886 0.25622637 0.57732102],[0.76132639 0.41828857 0.49182343 0.05938448]
41,[0.8306385  0.23212662 0.49963379],[0.78975031 0.40961505 0.45413297 0.04767812]
42,[0.83597273 0.23045459 0.40891898],[0.81460478 0.41365276 0.40582215 0.02487646]
