num,pos,quat_xyzw,time
64,[0.22813058 0.35817614 0.64633429],[0.58316655 0.65707467 0.35544582 0.31910487]
65,[0.23525554 0.34639698 0.56970529],[0.60252528 0.6774263  0.27320117 0.3215867 ]
66,[0.22531123 0.3666625  0.57338534],[ 0.84385427  0.47244159  0.25175241 -0.03646425]
67,[0.3930236  0.36171146 0.56923291],[ 0.87454209  0.4117393   0.2159558  -0.13787668]
68,[0.49013577 0.36700096 0.52531694],[ 0.88238571  0.36509802  0.23914473 -0.1758087 ]
69,[0.59097507 0.3752409  0.50566845],[ 0.86406955  0.36460357  0.27412284 -0.21284907]
70,[0.69204349 0.27653928 0.49754528],[0.80034572 0.51837557 0.2662804  0.14081283]
71,[0.61342809 0.22225645 0.41495783],[0.83991406 0.52303922 0.0543883  0.13422468]
72,[0.51495274 0.23382425 0.26759061],[ 0.83494478  0.5289053  -0.15200369  0.00461253]
73,[0.41347605 0.18135665 0.16980358],[ 8.00672937e-01  5.22249651e-01 -2.93560508e-01  6.15252230e-04]
74,[0.48743218 0.21613145 0.0895648 ],[ 0.8402732   0.5254208  -0.13189154 -0.02187581]
75,[0.60367758 0.25782436 0.12627708],[ 0.85997885  0.50918582 -0.00447068 -0.03385532]
76,[0.60228909 0.25807862 0.12257999],[ 0.91900746  0.39257041 -0.01168502 -0.03431061]
77,[0.59999986 0.26387549 0.12196586],[ 0.95730855  0.28679342 -0.01602527 -0.03245096]
78,[0.59612081 0.27342075 0.12428567],[ 0.71454836  0.69851727  0.00291029 -0.03854612]
79,[0.5938235  0.28192275 0.12733734],[ 0.47826665  0.8772694   0.01740799 -0.03682891]
80,[0.67892778 0.28450577 0.10796378],[0.39981991 0.90605302 0.09233494 0.10337418]
81,[0.60080392 0.26582749 0.097135  ],[0.37193245 0.92281218 0.04125931 0.09155104]
82,[0.48641743 0.24377772 0.0857888 ],[ 0.32346784  0.94244781 -0.02194127  0.08172671]
83,[0.4931803  0.12510212 0.12641829],[ 0.39609024  0.90725354 -0.05771368  0.12912269]
84,[0.4337906  0.09441664 0.14569968],[ 0.38570257  0.9047126  -0.08483628  0.15978562]
85,[0.40146345 0.07231601 0.16874945],[ 0.3796302   0.89761134 -0.10931018  0.1955149 ]
86,[0.34743912 0.12253044 0.20263964],[ 0.54288331  0.83286109 -0.10088624 -0.03797487]
87,[0.35347183 0.04624654 0.17846917],[ 0.63173961  0.7631937  -0.09452026 -0.09750056]
88,[0.50521184 0.01970087 0.20000389],[0.66701562 0.73865076 0.07399596 0.06332306]
89,[0.50724473 0.1105452  0.14652012],[0.60395235 0.79453272 0.05641397 0.02787084]
90,[0.61603612 0.09573066 0.16196077],[0.62467585 0.7634735  0.13736338 0.08955223]
91,[0.63583972 0.1084191  0.32340084],[0.59266382 0.75348237 0.21234553 0.1895344 ]
92,[0.6326343  0.11977903 0.35257548],[0.43229893 0.84867313 0.18350844 0.2433027 ]
93,[0.59384586 0.16039193 0.36166844],[0.56659534 0.77442354 0.27801579 0.0441036 ]
94,[0.46650131 0.16758051 0.4193037 ],[ 0.52953046  0.81326371  0.23094191 -0.06975289]
95,[0.36277142 0.12478721 0.43782926],[ 0.5127793   0.83376581  0.14926777 -0.14003964]
96,[0.36203638 0.0288464  0.42216322],[ 0.52491679  0.84963478  0.01695295 -0.04791344]
97,[0.41137976 0.02481139 0.39950285],[ 0.88095155  0.47130255  0.01863748 -0.03809099]
98,[0.55749308 0.04733829 0.36126941],[0.8640513  0.47894391 0.14982755 0.03974646]
99,[0.54567974 0.09286691 0.27966232],[ 0.91266882  0.39995629  0.08353909 -0.00958203]
100,[0.53485889 0.07747767 0.20629305],[ 0.95839579  0.28184704  0.01799275 -0.04142471]
